warning: only one CPU, which may conceal locking bugs
000028 CLNT S0 start
000030 CLNT S1 start
000032 CLNT S2 start
Test (2A): initial election ...
002066 TIMR S0 Follower -> Candidate at time : 1681830227
002067 CLNT S0 election timeouts restart a new election now - lastAct = 203 ms
002067 INFO S0 new timeouts 247 ms
002069 VOTE S0 send request to S1 for vote
002070 VOTE S0 send request to S2 for vote
002072 CLNT S2 Handle RequestVote, CandidatesId0 Term1 CurrentTerm0 LastLogIndex-1 LastLogTerm-1 votedFor-1
002072 CLNT S2 voted to S0
002073 VOTE S0 got majority votes and becomes Leader Spend 0 millseconds
002074 CLNT S1 Handle RequestVote, CandidatesId0 Term1 CurrentTerm0 LastLogIndex-1 LastLogTerm-1 votedFor-1
002075 CLNT S1 voted to S0
002115 TIMR S0 Leader, checking heartbeats
002120 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
002120 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
002121 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
002123 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
002123 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
002124 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
002632 TIMR S0 Leader, checking heartbeats
002636 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
002636 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
002638 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
002641 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
002641 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
002643 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
003160 TIMR S0 Leader, checking heartbeats
003164 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
003164 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
003166 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
003167 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
003167 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
003168 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
003683 TIMR S0 Leader, checking heartbeats
003686 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
003687 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
003688 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
003689 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
003689 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
003690 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
004228 TIMR S0 Leader, checking heartbeats
004231 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
004231 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
004231 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
004233 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
004233 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
004234 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
004795 TIMR S0 Leader, checking heartbeats
004798 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
004798 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
