warning: only one CPU, which may conceal locking bugs
004799 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
004800 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
004801 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
004802 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
005329 TIMR S0 Leader, checking heartbeats
005332 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
005332 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
005334 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
005336 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
005336 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
005337 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
005856 TIMR S0 Leader, checking heartbeats
005859 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
005859 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
005861 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
005862 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
005862 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
005864 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
006385 TIMR S0 Leader, checking heartbeats
006388 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
006388 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
006389 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
006391 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
006391 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
006391 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
006917 TIMR S0 Leader, checking heartbeats
006921 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
006922 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
006923 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
006925 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
006925 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
006926 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
007448 TIMR S0 Leader, checking heartbeats
007453 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
007453 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
007454 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
007456 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
007456 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
007458 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
007981 TIMR S0 Leader, checking heartbeats
007984 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
007984 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
007985 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
007986 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
007986 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
007987 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
008516 TIMR S0 Leader, checking heartbeats
008521 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
008521 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
008523 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
008525 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
008525 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
008526 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
009044 TIMR S0 Leader, checking heartbeats
009047 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
009048 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
009051 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
009051 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
009053 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
009057 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
009575 TIMR S0 Leader, checking heartbeats
009578 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
009578 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
009579 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
009581 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
009581 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
009582 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
010108 TIMR S0 Leader, checking heartbeats
010111 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
010111 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
010112 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
010114 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
010114 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
010115 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
010640 TIMR S0 Leader, checking heartbeats
010644 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
010645 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
010646 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
010647 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
010647 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
010651 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
011202 TIMR S0 Leader, checking heartbeats
011206 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
011206 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
011227 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
011227 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
011228 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
011246 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
011749 TIMR S0 Leader, checking heartbeats
011753 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
011753 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
011754 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
011756 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
011756 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
011757 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
012280 TIMR S0 Leader, checking heartbeats
012284 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
012284 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
012285 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
012287 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
012287 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
012296 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
012803 TIMR S0 Leader, checking heartbeats
012806 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
012807 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
012808 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
012810 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
012810 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
012810 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
013381 TIMR S0 Leader, checking heartbeats
013385 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
013385 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
013386 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
013388 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
013388 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
013389 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
013926 TIMR S0 Leader, checking heartbeats
013930 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
013930 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
013931 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
013934 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
013934 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
013935 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
014486 TIMR S0 Leader, checking heartbeats
014491 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
014491 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
014492 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
014496 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
014496 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
014497 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
015021 TIMR S0 Leader, checking heartbeats
015025 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
015025 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
015026 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
015027 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
015027 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
015028 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
015535 TIMR S0 Leader, checking heartbeats
015538 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
015538 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
015540 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
015542 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
015542 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
015542 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
016110 TIMR S0 Leader, checking heartbeats
016114 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
016114 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
016115 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
016117 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
016117 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
016118 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
016678 TIMR S0 Leader, checking heartbeats
016684 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
016684 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
016685 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
016686 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
016686 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
016687 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
017230 TIMR S0 Leader, checking heartbeats
017233 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
017233 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
017234 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
017235 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
017235 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
017236 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
017781 TIMR S0 Leader, checking heartbeats
017786 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
017786 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
017787 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
017790 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
017790 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
017791 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
018332 TIMR S0 Leader, checking heartbeats
018338 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
018338 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
018342 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
018344 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
018344 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
018345 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
018864 TIMR S0 Leader, checking heartbeats
018868 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
018868 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
018869 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
018872 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
018872 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
018874 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
019406 TIMR S0 Leader, checking heartbeats
019410 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
019410 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
019411 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
019412 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
019412 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
019413 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
019945 TIMR S0 Leader, checking heartbeats
019949 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
019949 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
019949 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
019950 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
019950 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
019952 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
020506 TIMR S0 Leader, checking heartbeats
020509 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
020510 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
020513 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
020515 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
020515 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
020516 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
021025 TIMR S0 Leader, checking heartbeats
021029 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
021029 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
021031 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
021032 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
021032 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
021033 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
021578 TIMR S0 Leader, checking heartbeats
021581 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
021582 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
021583 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
021584 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
021584 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
021585 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
022121 TIMR S0 Leader, checking heartbeats
022124 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
022124 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
022126 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
022127 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
022127 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
022128 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
022643 TIMR S0 Leader, checking heartbeats
022647 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
022648 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
022649 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
022650 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
022650 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
022651 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
023177 TIMR S0 Leader, checking heartbeats
023183 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
023183 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
023186 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
023189 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
023189 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
023191 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
023748 TIMR S0 Leader, checking heartbeats
023751 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
023751 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
023752 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
023753 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
023753 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
023755 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
024295 TIMR S0 Leader, checking heartbeats
024299 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
024299 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
024301 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
024302 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
024302 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
024303 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
024833 TIMR S0 Leader, checking heartbeats
024837 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
024837 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
024838 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
024850 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
024850 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
024852 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
025386 TIMR S0 Leader, checking heartbeats
025389 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
025390 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
025391 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
025393 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
025393 LOG1 S1 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
025394 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
025925 TIMR S0 Leader, checking heartbeats
025929 LOG1 S2 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
025929 LOG1 S2 Return AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
025931 LEAD S0 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
025932 LOG1 S1 Handle AppendEntries, LeaderId0 Term1 CurrentTerm1 role=[Follower]
