warning: only one CPU, which may conceal locking bugs
007397 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
007398 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
007399 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
007399 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
007400 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
007923 TIMR S1 Leader, checking heartbeats
007926 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
007926 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
007927 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
007928 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
007928 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
007929 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
008453 TIMR S1 Leader, checking heartbeats
008459 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
008459 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
008460 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
008460 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
008461 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
008462 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
008969 TIMR S1 Leader, checking heartbeats
008972 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
008972 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
008973 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
008974 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
008974 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
008975 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
009487 TIMR S1 Leader, checking heartbeats
009489 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
009490 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
009491 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
009492 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
009492 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
009493 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
010010 TIMR S1 Leader, checking heartbeats
010013 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
010013 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
010014 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
010018 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
010018 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
010019 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
010571 TIMR S1 Leader, checking heartbeats
010575 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
010575 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
010577 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
010578 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
010578 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
010579 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
011103 TIMR S1 Leader, checking heartbeats
011106 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
011106 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
011108 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
011110 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
011110 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
011112 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
011623 TIMR S1 Leader, checking heartbeats
011627 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
011627 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
011629 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
011630 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
011631 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
011632 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
012158 TIMR S1 Leader, checking heartbeats
012161 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
012161 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
012162 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
012163 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
012163 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
012165 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
