warning: only one CPU, which may conceal locking bugs
026162 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
026163 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
026163 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
026164 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
026694 TIMR S1 Leader, checking heartbeats
026699 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
026699 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
026701 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
026706 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
026707 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
026755 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
027211 TIMR S1 Leader, checking heartbeats
027214 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
027214 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
027217 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
027219 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
027219 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
027221 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
027745 TIMR S1 Leader, checking heartbeats
027749 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
027749 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
027751 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
027752 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
027752 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
027753 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
028267 TIMR S1 Leader, checking heartbeats
028272 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
028272 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
028273 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
028275 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
028275 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
028276 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
028799 TIMR S1 Leader, checking heartbeats
028803 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
028803 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
028805 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
028806 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
028806 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
028807 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
029304 TIMR S1 Leader, checking heartbeats
029308 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
029308 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
029309 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
029310 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
029310 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
029311 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
029840 TIMR S1 Leader, checking heartbeats
029843 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
029843 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
029845 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
029847 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
029847 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
029848 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
030373 TIMR S1 Leader, checking heartbeats
030379 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
030379 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
030381 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
030382 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
030382 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
030383 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
030903 TIMR S1 Leader, checking heartbeats
030906 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
030906 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
030907 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
030909 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
030909 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
030910 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
  ... Passed --   3.1  3  110   33048    0
031058 CLNT S0 start
031059 CLNT S1 start
031060 CLNT S2 start
Test (2A): election after network failure ...
033079 TIMR S2 Follower -> Candidate at time : 1681831816
033079 CLNT S2 election timeouts restart a new election now - lastAct = 201 ms
033079 INFO S2 new timeouts 311 ms
033080 VOTE S2 send request to S0 for vote
033081 VOTE S2 send request to S1 for vote
033084 CLNT S1 Handle RequestVote, CandidatesId2 Term1 CurrentTerm0 LastLogIndex-1 LastLogTerm-1 votedFor-1
033084 CLNT S1 voted to S2
033085 VOTE S2 got majority votes and becomes Leader Spend 0 millseconds
033086 CLNT S0 Handle RequestVote, CandidatesId2 Term1 CurrentTerm0 LastLogIndex-1 LastLogTerm-1 votedFor-1
033086 CLNT S0 voted to S2
033100 TIMR S2 Leader, checking heartbeats
033104 LOG1 S0 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
033104 LOG1 S0 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
033105 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
033109 LOG1 S1 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
033109 LOG1 S1 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
033114 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
033642 TIMR S2 Leader, checking heartbeats
033645 LOG1 S1 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
033645 LOG1 S1 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
033647 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
033648 LOG1 S0 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
033649 LOG1 S0 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
033650 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
034186 TIMR S2 Leader, checking heartbeats
034191 LOG1 S1 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
034191 LOG1 S1 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
034192 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
034194 LOG1 S0 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
034194 LOG1 S0 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
034195 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
034719 TIMR S2 Leader, checking heartbeats
034722 LOG1 S1 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
034722 LOG1 S1 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
034723 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
034724 LOG1 S0 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
034725 LOG1 S0 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
034725 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
035249 TIMR S2 Leader, checking heartbeats
035253 LOG1 S1 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
035253 LOG1 S1 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
035254 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
035260 LOG1 S0 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
035260 LOG1 S0 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
035261 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
035781 TIMR S2 Leader, checking heartbeats
035785 LOG1 S1 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
035785 LOG1 S1 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
035787 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
035788 LOG1 S0 Handle AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
035788 LOG1 S0 Return AppendEntries, LeaderId2 Term1 CurrentTerm1 role=[Follower]
035792 LEAD S2 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
036308 TIMR S2 Leader, checking heartbeats
036855 TIMR S2 Leader, checking heartbeats
037375 TIMR S2 Leader, checking heartbeats
037901 TIMR S2 Leader, checking heartbeats
038182 TIMR S1 Follower -> Candidate at time : 1681831817
038182 CLNT S1 election timeouts restart a new election now - lastAct = 239 ms
038182 INFO S1 new timeouts 302 ms
038184 VOTE S1 send request to S0 for vote
038184 VOTE S1 send request to S2 for vote
038186 CLNT S0 Handle RequestVote, CandidatesId1 Term2 CurrentTerm1 LastLogIndex-1 LastLogTerm-1 votedFor2
038186 CLNT S0 voted to S1
038188 VOTE S1 got majority votes and becomes Leader Spend 0 millseconds
038219 TIMR S1 Leader, checking heartbeats
038223 LOG1 S0 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
038223 LOG1 S0 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
038240 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
038425 TIMR S2 Leader, checking heartbeats
038754 TIMR S1 Leader, checking heartbeats
038758 LOG1 S0 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
038758 LOG1 S0 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
038759 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
038952 TIMR S2 Leader, checking heartbeats
039287 TIMR S1 Leader, checking heartbeats
039291 LOG1 S0 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
039291 LOG1 S0 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
039292 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
039509 TIMR S2 Leader, checking heartbeats
039826 TIMR S1 Leader, checking heartbeats
039829 LOG1 S0 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
039829 LOG1 S0 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
039830 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
040059 TIMR S2 Leader, checking heartbeats
040375 TIMR S1 Leader, checking heartbeats
040380 LOG1 S2 Handle AppendEntries, LeaderId1 Term2 CurrentTerm1 role=[Leader]
040380 LOG1 S2 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
040381 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
040385 LOG1 S0 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
040385 LOG1 S0 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
040386 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
040951 TIMR S1 Leader, checking heartbeats
040953 LOG1 S2 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
040953 LOG1 S2 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
040989 LOG1 S0 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
040990 LOG1 S0 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
040992 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
040995 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
041480 TIMR S1 Leader, checking heartbeats
041484 LOG1 S2 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
041485 LOG1 S2 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
041486 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
041487 LOG1 S0 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
041488 LOG1 S0 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
041489 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
042036 TIMR S1 Leader, checking heartbeats
042041 LOG1 S2 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
042041 LOG1 S2 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
042042 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
042043 LOG1 S0 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
042043 LOG1 S0 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
042044 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
042589 TIMR S1 Leader, checking heartbeats
042592 LOG1 S2 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
042592 LOG1 S2 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
042593 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
042594 LOG1 S0 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
042594 LOG1 S0 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
042595 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
043146 TIMR S1 Leader, checking heartbeats
043150 LOG1 S2 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
043150 LOG1 S2 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
043152 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
043154 LOG1 S0 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
043154 LOG1 S0 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
043156 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
043687 TIMR S1 Leader, checking heartbeats
043691 LOG1 S2 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
043692 LOG1 S2 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
043693 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
043694 LOG1 S0 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
043694 LOG1 S0 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
043695 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
044243 TIMR S1 Leader, checking heartbeats
044246 LOG1 S2 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
044246 LOG1 S2 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
044247 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
044247 LOG1 S0 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
044248 LOG1 S0 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
044248 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
044833 TIMR S1 Leader, checking heartbeats
044836 LOG1 S2 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
044836 LOG1 S2 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
044837 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
044838 LOG1 S0 Handle AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
044838 LOG1 S0 Return AppendEntries, LeaderId1 Term2 CurrentTerm2 role=[Follower]
044838 LEAD S1 appendEntries ends, peerTerm2 myCurrentTerm2 myRole[Leader]
045360 TIMR S1 Leader, checking heartbeats
045918 TIMR S1 Leader, checking heartbeats
046446 TIMR S1 Leader, checking heartbeats
046901 TIMR S0 Follower -> Candidate at time : 1681831818
046901 CLNT S0 election timeouts restart a new election now - lastAct = 206 ms
046901 INFO S0 new timeouts 311 ms
046902 VOTE S0 send request to S1 for vote
046903 VOTE S0 send request to S2 for vote
046903 TIMR S2 Follower -> Candidate at time : 1681831818
046903 CLNT S2 election timeouts restart a new election now - lastAct = 206 ms
046904 INFO S2 new timeouts 267 ms
046904 VOTE S2 send request to S0 for vote
046905 VOTE S2 send request to S1 for vote
046968 TIMR S1 Leader, checking heartbeats
047484 TIMR S1 Leader, checking heartbeats
048018 TIMR S1 Leader, checking heartbeats
048539 TIMR S1 Leader, checking heartbeats
049059 TIMR S1 Leader, checking heartbeats
049599 TIMR S1 Leader, checking heartbeats
049932 CLNT S2 election timeouts restart a new election now - lastAct = 302 ms
049933 INFO S2 new timeouts 322 ms
049933 VOTE S2 send request to S0 for vote
049933 VOTE S2 send request to S1 for vote
050118 TIMR S1 Leader, checking heartbeats
050444 CLNT S0 election timeouts restart a new election now - lastAct = 354 ms
050444 INFO S0 new timeouts 232 ms
050445 VOTE S0 send request to S1 for vote
050445 VOTE S0 send request to S2 for vote
050641 TIMR S1 Leader, checking heartbeats
051156 TIMR S1 Leader, checking heartbeats
051696 TIMR S1 Leader, checking heartbeats
052229 TIMR S1 Leader, checking heartbeats
052744 TIMR S1 Leader, checking heartbeats
052975 CLNT S0 election timeouts restart a new election now - lastAct = 253 ms
052978 INFO S0 new timeouts 257 ms
052979 VOTE S0 send request to S1 for vote
052979 VOTE S0 send request to S2 for vote
053264 TIMR S1 Leader, checking heartbeats
053481 CLNT S2 election timeouts restart a new election now - lastAct = 354 ms
053481 INFO S2 new timeouts 299 ms
053482 VOTE S2 send request to S0 for vote
053482 VOTE S2 send request to S1 for vote
053777 TIMR S1 Leader, checking heartbeats
054298 TIMR S1 Leader, checking heartbeats
054834 TIMR S1 Leader, checking heartbeats
055362 TIMR S1 Leader, checking heartbeats
055888 TIMR S1 Leader, checking heartbeats
056005 CLNT S0 election timeouts restart a new election now - lastAct = 302 ms
056005 INFO S0 new timeouts 267 ms
056006 VOTE S0 send request to S1 for vote
056006 VOTE S0 send request to S2 for vote
056412 TIMR S1 Leader, checking heartbeats
056536 CLNT S2 election timeouts restart a new election now - lastAct = 305 ms
056536 INFO S2 new timeouts 170 ms
056537 VOTE S2 send request to S0 for vote
056537 VOTE S2 send request to S1 for vote
056958 TIMR S1 Leader, checking heartbeats
057493 TIMR S1 Leader, checking heartbeats
058022 TIMR S1 Leader, checking heartbeats
058544 TIMR S1 Leader, checking heartbeats
058559 CLNT S2 election timeouts restart a new election now - lastAct = 202 ms
058559 INFO S2 new timeouts 333 ms
058560 VOTE S2 send request to S0 for vote
058560 VOTE S2 send request to S1 for vote
059066 CLNT S0 election timeouts restart a new election now - lastAct = 306 ms
059066 INFO S0 new timeouts 280 ms
059067 VOTE S0 send request to S1 for vote
059067 VOTE S0 send request to S2 for vote
059068 TIMR S1 Leader, checking heartbeats
059597 TIMR S1 Leader, checking heartbeats
060120 TIMR S1 Leader, checking heartbeats
060677 TIMR S1 Leader, checking heartbeats
061200 TIMR S1 Leader, checking heartbeats
061741 TIMR S1 Leader, checking heartbeats
062125 CLNT S0 election timeouts restart a new election now - lastAct = 305 ms
062125 INFO S0 new timeouts 155 ms
062126 VOTE S0 send request to S1 for vote
062126 VOTE S0 send request to S2 for vote
062127 CLNT S2 election timeouts restart a new election now - lastAct = 356 ms
062127 INFO S2 new timeouts 161 ms
062127 VOTE S2 send request to S0 for vote
062127 VOTE S2 send request to S1 for vote
062265 TIMR S1 Leader, checking heartbeats
062803 TIMR S1 Leader, checking heartbeats
063323 TIMR S1 Leader, checking heartbeats
063847 TIMR S1 Leader, checking heartbeats
064148 CLNT S0 election timeouts restart a new election now - lastAct = 202 ms
064149 INFO S0 new timeouts 243 ms
064149 VOTE S0 send request to S1 for vote
064149 VOTE S0 send request to S2 for vote
064150 CLNT S2 election timeouts restart a new election now - lastAct = 202 ms
064150 INFO S2 new timeouts 252 ms
064151 VOTE S2 send request to S0 for vote
064151 VOTE S2 send request to S1 for vote
064387 TIMR S1 Leader, checking heartbeats
064909 TIMR S1 Leader, checking heartbeats
065472 TIMR S1 Leader, checking heartbeats
066049 TIMR S1 Leader, checking heartbeats
066578 TIMR S1 Leader, checking heartbeats
066675 CLNT S0 election timeouts restart a new election now - lastAct = 252 ms
066675 INFO S0 new timeouts 297 ms
066676 VOTE S0 send request to S1 for vote
066676 VOTE S0 send request to S2 for vote
066679 CLNT S2 Handle RequestVote, CandidatesId0 Term10 CurrentTerm9 LastLogIndex-1 LastLogTerm-1 votedFor2
066680 CLNT S2 voted to S0
066681 VOTE S0 got majority votes and becomes Leader Spend 0 millseconds
066709 TIMR S0 Leader, checking heartbeats
066712 LOG1 S2 Handle AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
066712 LOG1 S2 Return AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
066714 LEAD S0 appendEntries ends, peerTerm10 myCurrentTerm10 myRole[Leader]
067099 TIMR S1 Leader, checking heartbeats
067229 TIMR S0 Leader, checking heartbeats
067234 LOG1 S2 Handle AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
067234 LOG1 S2 Return AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
067235 LEAD S0 appendEntries ends, peerTerm10 myCurrentTerm10 myRole[Leader]
067642 TIMR S1 Leader, checking heartbeats
067787 TIMR S0 Leader, checking heartbeats
067791 LOG1 S2 Handle AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
067791 LOG1 S2 Return AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
067793 LEAD S0 appendEntries ends, peerTerm10 myCurrentTerm10 myRole[Leader]
068188 TIMR S1 Leader, checking heartbeats
068343 TIMR S0 Leader, checking heartbeats
068348 LOG1 S2 Handle AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
068349 LOG1 S2 Return AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
068350 LEAD S0 appendEntries ends, peerTerm10 myCurrentTerm10 myRole[Leader]
068742 TIMR S1 Leader, checking heartbeats
068927 TIMR S0 Leader, checking heartbeats
068931 LOG1 S2 Handle AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
068931 LOG1 S2 Return AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
068932 LEAD S0 appendEntries ends, peerTerm10 myCurrentTerm10 myRole[Leader]
069321 TIMR S1 Leader, checking heartbeats
069514 TIMR S0 Leader, checking heartbeats
069518 LOG1 S2 Handle AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
069519 LOG1 S2 Return AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
069520 LEAD S0 appendEntries ends, peerTerm10 myCurrentTerm10 myRole[Leader]
069859 TIMR S1 Leader, checking heartbeats
070038 TIMR S0 Leader, checking heartbeats
070043 LOG1 S2 Handle AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
070043 LOG1 S2 Return AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
070044 LEAD S0 appendEntries ends, peerTerm10 myCurrentTerm10 myRole[Leader]
070392 TIMR S1 Leader, checking heartbeats
070397 LOG1 S2 Handle AppendEntries, LeaderId1 Term2 CurrentTerm10 role=[Follower]
070397 LOG1 S2 Return AppendEntries, LeaderId1 Term2 CurrentTerm10 role=[Follower]
070398 LEAD S1 appendEntries ends, peerTerm10 myCurrentTerm10 myRole[Follower]
070400 LOG1 S0 Handle AppendEntries, LeaderId1 Term2 CurrentTerm10 role=[Leader]
070401 LOG1 S0 Return AppendEntries, LeaderId1 Term2 CurrentTerm10 role=[Leader]
070403 LEAD S1 appendEntries ends, peerTerm10 myCurrentTerm10 myRole[Follower]
070528 VOTE S2 did not got majortity votes election faild
070582 TIMR S0 Leader, checking heartbeats
070586 LOG1 S2 Handle AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
070587 LOG1 S2 Return AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
070600 LOG1 S1 Handle AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
070600 LOG1 S1 Return AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
070602 LEAD S0 appendEntries ends, peerTerm10 myCurrentTerm10 myRole[Leader]
070611 LEAD S0 appendEntries ends, peerTerm10 myCurrentTerm10 myRole[Leader]
071039 VOTE S2 did not got majortity votes election faild
071138 TIMR S0 Leader, checking heartbeats
071142 LOG1 S2 Handle AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
071142 LOG1 S2 Return AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
071144 LEAD S0 appendEntries ends, peerTerm10 myCurrentTerm10 myRole[Leader]
071145 LOG1 S1 Handle AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
071146 LOG1 S1 Return AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
071147 LEAD S0 appendEntries ends, peerTerm10 myCurrentTerm10 myRole[Leader]
071321 VOTE S2 did not got majortity votes election faild
071801 TIMR S0 Leader, checking heartbeats
072600 LOG1 S2 Handle AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
072600 LOG1 S2 Return AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
072602 LEAD S0 appendEntries ends, peerTerm10 myCurrentTerm10 myRole[Leader]
072638 LOG1 S1 Handle AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
072639 LOG1 S1 Return AppendEntries, LeaderId0 Term10 CurrentTerm10 role=[Follower]
072642 LEAD S0 appendEntries ends, peerTerm10 myCurrentTerm10 myRole[Leader]
