warning: only one CPU, which may conceal locking bugs
000019 CLNT S0 start
000023 CLNT S1 start
000024 CLNT S2 start
Test (2A): initial election ...
001534 TIMR S1 Follower -> Candidate at time : 1681836522
001535 CLNT S1 election timeouts restart a new election now - lastAct = 151 ms
001535 INFO S1 new timeouts 257 ms
001537 VOTE S1 send request to S0 for vote
001537 VOTE S1 send request to S2 for vote
001540 CLNT S2 Handle RequestVote, CandidatesId1 Term1 CurrentTerm0 LastLogIndex-1 LastLogTerm-1 votedFor-1
001540 CLNT S2 voted to S1
001541 VOTE S1 got majority votes and becomes Leader Spend 0 millseconds
001542 CLNT S0 Handle RequestVote, CandidatesId1 Term1 CurrentTerm0 LastLogIndex-1 LastLogTerm-1 votedFor-1
001542 CLNT S0 voted to S1
001591 TIMR S1 Leader, checking heartbeats
001595 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
001596 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
001597 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
001599 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
001599 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
001600 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
002113 TIMR S1 Leader, checking heartbeats
002119 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
002119 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
002122 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
002123 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
002124 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
002127 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
002637 TIMR S1 Leader, checking heartbeats
002642 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
002642 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
002643 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
002645 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
002645 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
002646 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
003176 TIMR S1 Leader, checking heartbeats
003180 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
003180 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
003181 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
003182 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
003182 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
003184 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
003709 TIMR S1 Leader, checking heartbeats
003713 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
003713 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
003714 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
003716 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
003716 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
003717 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
004247 TIMR S1 Leader, checking heartbeats
004252 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
004252 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
004253 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
004254 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
004254 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
004254 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
004777 TIMR S1 Leader, checking heartbeats
004780 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
004781 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
004782 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
004784 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
