warning: only one CPU, which may conceal locking bugs
004784 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
004786 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
005377 TIMR S1 Leader, checking heartbeats
005381 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
005381 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
005383 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
005385 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
005385 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
005386 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
005965 TIMR S1 Leader, checking heartbeats
005970 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
005970 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
005971 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
005972 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
005973 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
005973 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
006505 TIMR S1 Leader, checking heartbeats
006508 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
006508 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
006509 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
006510 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
006511 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
006511 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
007031 TIMR S1 Leader, checking heartbeats
007034 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
007034 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
007036 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
007037 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
007038 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
007039 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
007605 TIMR S1 Leader, checking heartbeats
007609 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
007609 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
007610 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
007612 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
007612 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
007614 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
008120 TIMR S1 Leader, checking heartbeats
008125 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
008125 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
008127 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
008128 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
008129 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
008129 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
008697 TIMR S1 Leader, checking heartbeats
008700 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
008700 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
008701 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
008702 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
008702 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
008704 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
009211 TIMR S1 Leader, checking heartbeats
009215 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
009216 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
009217 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
009221 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
009222 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
009223 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
009740 TIMR S1 Leader, checking heartbeats
009744 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
009744 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
009745 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
009747 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
009747 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
009748 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
010273 TIMR S1 Leader, checking heartbeats
010276 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
010276 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
010278 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
010286 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
010284 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
010287 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
010803 TIMR S1 Leader, checking heartbeats
010807 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
010807 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
010808 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
010809 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
010809 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
010810 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
011339 TIMR S1 Leader, checking heartbeats
011343 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
011343 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
011345 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
011346 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
011346 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
011348 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
011879 TIMR S1 Leader, checking heartbeats
011886 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
011886 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
011887 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
011895 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
011895 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
011897 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
012405 TIMR S1 Leader, checking heartbeats
012409 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
012409 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
012410 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
012412 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
012412 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
012413 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
012964 TIMR S1 Leader, checking heartbeats
012967 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
012967 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
012969 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
012970 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
012971 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
012971 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
013488 TIMR S1 Leader, checking heartbeats
013492 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
013492 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
013494 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
013496 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
013497 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
013498 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
014037 TIMR S1 Leader, checking heartbeats
014041 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
014041 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
014043 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
014044 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
014044 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
014046 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
014570 TIMR S1 Leader, checking heartbeats
014575 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
014575 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
014576 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
014578 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
014578 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
014579 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
015096 TIMR S1 Leader, checking heartbeats
015100 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
015100 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
015101 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
015102 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
015103 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
015104 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
015621 TIMR S1 Leader, checking heartbeats
015625 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
015625 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
015626 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
015628 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
015628 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
015630 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
016140 TIMR S1 Leader, checking heartbeats
016142 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
016143 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
016143 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
016145 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
016145 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
016145 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
016677 TIMR S1 Leader, checking heartbeats
016683 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
016683 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
016689 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
016689 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
016690 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
016697 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
017211 TIMR S1 Leader, checking heartbeats
017215 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
017215 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
017216 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
017219 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
017219 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
017222 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
017739 TIMR S1 Leader, checking heartbeats
017743 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
017743 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
017745 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
017746 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
017746 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
017747 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
018300 TIMR S1 Leader, checking heartbeats
018304 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
018304 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
018305 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
018308 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
018308 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
018310 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
018854 TIMR S1 Leader, checking heartbeats
018857 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
018857 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
018859 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
018860 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
018860 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
018861 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
019381 TIMR S1 Leader, checking heartbeats
019384 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
019384 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
019385 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
019386 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
019386 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
019388 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
019919 TIMR S1 Leader, checking heartbeats
019925 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
019925 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
019927 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
019928 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
019928 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
019931 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
020456 TIMR S1 Leader, checking heartbeats
020458 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
020458 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
020460 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
020462 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
020462 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
020463 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
020984 TIMR S1 Leader, checking heartbeats
020987 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
020988 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
020989 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
020990 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
020991 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
020992 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
021538 TIMR S1 Leader, checking heartbeats
021541 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
021541 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
021542 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
021544 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
021544 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
021545 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
022067 TIMR S1 Leader, checking heartbeats
022072 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
022073 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
022074 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
022075 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
022075 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
022076 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
022595 TIMR S1 Leader, checking heartbeats
022599 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
022599 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
022603 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
022627 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
022627 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
022629 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
023487 TIMR S1 Leader, checking heartbeats
023491 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
023491 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
023494 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
023495 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
023495 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
023498 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
024035 TIMR S1 Leader, checking heartbeats
024042 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
024042 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
024043 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
024057 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
024057 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
024059 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
024625 TIMR S1 Leader, checking heartbeats
024629 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
024629 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
024630 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
024633 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
024633 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
024634 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
025148 TIMR S1 Leader, checking heartbeats
025152 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
025153 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
025154 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
025155 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
025155 LOG1 S0 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
025156 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
025672 TIMR S1 Leader, checking heartbeats
025677 LOG1 S2 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
025677 LOG1 S2 Return AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
025678 LEAD S1 appendEntries ends, peerTerm1 myCurrentTerm1 myRole[Leader]
025679 LOG1 S0 Handle AppendEntries, LeaderId1 Term1 CurrentTerm1 role=[Follower]
